,If you like,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9128652074338368262,-9128652074338368262,3779639438468810958,9151634133568930081,-8009527121402763559,201515581783532281,6.304895356046683e+18
-9107331682787867601,-9107331682787867601,-844797936291539016,5834671664627894569,-8980834789053459155,-3718969219417182449,7.828019124127586e+18
-9105040345021932755,-9105040345021932755,-5204755921272353160,2668385070649954934,8267509427016592713,-5618100784509704440,-3.751398885033122e+18
-9103776596534246502,-9103776596534246502,-9103776596534246502,3321223121670148312,4333668738649701866,2051327203770554158,-3.854488592949786e+18
-9102431381393428051,-9102431381393428051,1729892529360390310,6984066580750577207,-8992803137960175254,-5002383425685129595,-2.879657397552025e+18
-9100490342054218852,-9100490342054218852,3057455921237571253,-6546787050052580484,8210960017870928723,-3410781775610270991,4.5553391167515796e+18
-9099155556042679205,-9099155556042679205,9033884391004475493,4315784099325221836,163780025692404854,4597139024287190193,-5.473240756133414e+17
-9095002324981651252,-9095002324981651252,1642787330067525131,-5843518165523212471,8801504303517439478,-4233177915193302509,-5.414889822782395e+18
-9092333155845304874,-9092333155845304874,-4748027149000767298,-8578355592291788601,6206342468637502921,7498047411414226273,-1.0609905241051356e+18
-9090514312860140897,-9090514312860140897,1061238072586805321,-7926018713416777892,-2261845840076552387,-5600393064072065417,-7.900768082301348e+18
-9089854794058353436,-9089854794058353436,-5154395767417065070,-2547386150711652030,4463025528374352465,7578709204835512162,2.9526365445477043e+18
-9086955082453789880,-9086955082453789880,-3269885695260066314,4241385837165861843,-5154395767417065070,786135087362634258,5.350829677696206e+18
-9083294960368598209,-9083294960368598209,-9007594455502730692,-7108012586837980940,8028897172674067530,-6798063491592860025,-1.762456938647577e+18
-9081753261356157170,-9081753261356157170,-6324550271415246022,-908505899495735224,2727743992157210358,-3537777320523757545,-8.018088591294067e+18
-9080873096647717414,-9080873096647717414,484986956330644320,2032007496318616962,-730957269757756529,-8615957592921855596,-8.412113620940366e+18
-9076501258717815738,-9076501258717815738,1507299850679912107,-3959242148361340089,4307433444610636421,4702453495211185350,-4.1323314045536266e+18
-9073210245497295284,-9073210245497295284,2586379029487881843,-2181071289972835602,4575580212020245658,3761187656635209729,-5.18148980491574e+18
-9071883412530082330,-9071883412530082330,2121807307434667949,4345055131254210605,7421641564256558176,-6566175321434139682,-4.762897581600184e+18
-9064100704535292718,-9064100704535292718,-6742146164569753679,6716649347760033969,2572662123697831414,7270966256391553686,2.2448946752662766e+18
-9056114023474725450,-9056114023474725450,4945121243335041737,-7638840925036528150,-7388035385087807288,-7130425546996181071,1.7470778664799037e+17
-9055044275358686874,-9055044275358686874,2764830801602925772,3980405883168341377,-5331421579623797776,-3027055440570405664,-2.855910583928922e+18
-9050450867630628092,-9050450867630628092,2285392309373358857,-7448252416950961815,-1124738136890721085,-1590585250246572231,-3.6666464541673344e+18
-9045753673721269477,-9045753673721269477,5380540855517464621,8200662919796009914,-1312850681127865433,5817939718364925129,2.847365042071859e+18
-9041823059579281174,-9041823059579281174,-7796858148829878756,1547036706250649420,-3883591366197282127,1433951803438448289,7.420742904084385e+18
-9041546321432974047,-9041546321432974047,-70211258489242437,-2097626568191556277,-89955207814154444,2393972361498749268,-1.4537833145522867e+18
-9040419159428373932,-9040419159428373932,-9040419159428373932,-9152398073968262186,-5470166294767187597,-2800563841840387504,-8.9681017716042e+18
-9039021554659316935,-9039021554659316935,-5848514031542611523,231281690254211527,-1181242543195516037,-2314360211211303885,4.4303563555871657e+18
-9033346036688923648,-9033346036688923648,-9033346036688923648,-2976309714446243509,-2377881752614744441,-2355230755276061204,-6.238628334008321e+18
-9033211547111606164,-9033211547111606164,-7620438371471449873,524776334673868069,-2423593292146522678,-7356135999773525293,1.4339518034384484e+18
-9028990334396397584,-9028990334396397584,3906974906788964502,5484061377044071389,-2479936301516183562,-3417523159811412977,3.205047378909989e+18
-9020955625521881630,-9020955625521881630,-1181242543195516037,231281690254211527,5669290109546991426,4430356355587165611,1.7373036697061066e+18
-9019582414165805420,-9019582414165805420,3241240229241793423,-282629989972409543,-6468782714472551646,-4866987227632887920,-1.255189867397299e+18
-9019233957195913605,-9019233957195913605,-5647324599703588252,-6074646493203713780,-5148591903395022444,-4974757204495953627,-1.4925747945145e+18
-9007594455502730692,-9007594455502730692,4804093434821394840,-9083294960368598209,8545647269051113523,-8196748324041706598,-4.994468824009201e+18
-9002191823887486987,-9002191823887486987,-8311338126170554747,-8800029253812071912,-7891960098457323262,5827857898404399503,2.917561522815947e+18
-8996656559398843485,-8996656559398843485,-8578355592291788601,-4748027149000767298,-1060990524105135617,6678691743269420670,7.498047411414226e+18
-8992803137960175254,-8992803137960175254,-5952729859839521828,-4133169317019898816,-4509487968959834430,-7264217791213422584,7.088167897470453e+18
-8992201526199201450,-8992201526199201450,-1876558460087500339,3041906492387035176,-5204755921272353160,-2097626568191556277,2.668385070649955e+18
-8984665034930053829,-8984665034930053829,8065912276310959188,-4748027149000767298,-8578355592291788601,7498047411414226273,-1.0609905241051356e+18
-8980834789053459155,-8980834789053459155,5834671664627894569,8295457724580096419,8433131156569129937,-3718969219417182449,7.828019124127586e+18
-8971085667828564532,-8971085667828564532,3564394485543941353,3436241621287351574,1128840733277618400,-5600393064072065417,3.929262240746147e+18
-8968101771604200516,-8968101771604200516,-9152398073968262186,-5470166294767187597,7511744555558105059,-9040419159428373932,-2.8005638418403876e+18
-8964534883296838326,-8964534883296838326,-6514535768080218883,5271205718596251417,7778744448313924630,-486686184692655504,-6.85824006136331e+18
-8962700386317589038,-8962700386317589038,-5989749314869037016,-6884335507424704154,1283472251609674486,5714874452041944640,1.990052153136096e+18
-8954346068661072425,-8954346068661072425,6932547594283220441,6240076106289531207,-8686523832043452855,-1852234953549915446,-3.876501423599933e+18
-8950763842769120954,-8950763842769120954,-4864344772765973009,7944907848226041964,215332765550420709,-7034660627992927630,4.817624205684041e+18
-8949113594875411859,-8949113594875411859,-447851796385928420,3032648342029994387,7083316110921342538,-894273917655637623,-5.345231991504931e+18
-8948234514303933700,-8948234514303933700,1737303669706106633,-1181242543195516037,231281690254211527,2867605706298498445,4.4303563555871657e+18
-8947720860550700506,-8947720860550700506,1003778007373126185,363303724138208407,2531450382701518075,1220948775534529013,8.70845247182554e+18
-8942026248671582808,-8942026248671582808,6607431762270322325,-645584250289067285,3750772607644674028,8993230615635349817,-5.834712486602584e+17
-8939172344092554931,-8939172344092554931,-6546787050052580484,6102826385978742696,7612428320594238723,8210960017870928723,-4.1137884260726406e+17
-8937070974333045193,-8937070974333045193,6090089162789916215,-4386371945374980231,-9157338616628196758,5940374562401786524,-3.136683414587095e+18
-8935051432668167578,-8935051432668167578,-8935051432668167578,-5411404485622449820,-5289386635926629588,-4882849408937990337,3.70215001780696e+18
-8934199835393138432,-8934199835393138432,-2548446404469756145,-8368414190009234878,2379460324923679020,-9184137057748005562,-5.622405819042018e+18
-8933526098329881084,-8933526098329881084,9026402401132606773,8297658253225035519,7655627888058923987,1796618361228441836,-7.215110246376e+18
-8913397556833789413,-8913397556833789413,7944907848226041964,-4864344772765973009,215332765550420709,-7034660627992927630,4.817624205684041e+18
-8909927294729358771,-8909927294729358771,-9153494109165200346,-9172673334835262304,3965818599169726564,6797033574746412211,-6.734931185433789e+18
-8908991577172785311,-8908991577172785311,1515492713000932747,6099026883115865746,-2797708685347481851,817467807875770568,-9.147114693160126e+18
-8900307211613973542,-8900307211613973542,8844011188151156774,-1802980374508081539,9128267824356972069,8381798621267347902,8.2193102155876e+18
-8900113512825364282,-8900113512825364282,2916072977192006313,2731915238980099593,-282629989972409543,-6468782714472551646,-4.866987227632888e+18
-8885776096632729273,-8885776096632729273,8396284143617057811,-5115041394506292462,7414965642940222121,817467807875770568,3.256054536066714e+18
-8879983698341300928,-8879983698341300928,-1868297195590431285,-1804728901674946596,1431351528207086249,-7900768082301348135,4.4630255283743524e+18
-8876785823151614444,-8876785823151614444,-1802980374508081539,8381798621267347902,1433951803438448289,8219310215587599928,-4.565745183488062e+17
-8864073373672512525,-8864073373672512525,4312678980890750477,-6817732106250460899,-5525441367600219076,-5020541944663390025,-8.50859843943188e+18
-8863047175241170722,-8863047175241170722,6102826385978742696,-411378842607264055,-2136400115854451336,-7042078050206929948,8.58762034263148e+18
-8854146354650101086,-8854146354650101086,-1737937277055036780,7251252752220327534,-1706114177222872702,4303142677581479651,-7.454907763335725e+18
-8819557474068526071,-8819557474068526071,8878031598946138458,-6467708104873171151,-7051470020148066326,-8311338126170554747,7.155061818771056e+18
-8815620240581422908,-8815620240581422908,7419040071212162906,-7534240757267992657,1674373276159762025,1933229167501870037,4.654349179360176e+18
-8813724423497152538,-8813724423497152538,3618205920179577598,-3645539449929727083,-1255189867397298842,-3513353119850106583,-6.468782714472551e+18
-8801071115335368509,-8801071115335368509,-1383778823073811714,-3488100191290830083,8872925201254666834,1971653634364577968,-6.096307037126839e+18
-8800029253812071912,-8800029253812071912,-8311338126170554747,2602738827388230683,-9002191823887486987,-5331421579623797776,3.9804058831683415e+18
-8797444257711529901,-8797444257711529901,657779080033041603,2598008935363515744,-1911407455198985777,8754824745136110042,-6.625273991455881e+18
-8796191278504623694,-8796191278504623694,-5839185923562195912,-5848755753905481990,-1564468014116140117,-8606063418076691067,3.884256359744616e+18
-8781597910014596432,-8781597910014596432,-6875247493073242590,-7655127094029937288,-9147114693160126293,-1104501717379772664,1.286494666178127e+18
-8773118241761372618,-8773118241761372618,-8909927294729358771,-241724866433160984,-9153494109165200346,-9172673334835262304,3.9658185991697265e+18
-8771338872124599367,-8771338872124599367,7395435905985567130,9207286802575546269,1954074927376897165,5979676385148714519,-8.099145207792679e+18
-8763351865833452031,-8763351865833452031,-5452374239565071760,3569727790804487273,-5578229678262992168,-321691855821364131,1.1077391781951547e+18
-8762137947059829459,-8762137947059829459,1662917027785920354,2841458704671711663,5827857898404399503,-3820497466351868775,9.207286802575546e+18
-8757701761088346244,-8757701761088346244,-4754223659064624252,-1111518890369033396,-3759596852696130492,564282370384747453,1.954991916791272e+18
-8742648016180281673,-8742648016180281673,-8222568914848295086,6377566860234930618,2384931701643938149,-2990485643677949494,-3.114161754347804e+18
-8739701156093513292,-8739701156093513292,30461094217357731,2362495898257544462,7000840123067725009,-6308850935767965758,3.6434654929849395e+18
-8734181034726403477,-8734181034726403477,6409304780354173378,7345394467579731315,8424505741986577894,-3605608255586388018,-4.875060556471577e+18
-8728075196312712282,-8728075196312712282,2551517430254715046,-6598777110696521045,4106497696154898573,-1995591062742965408,4.81208989470992e+18
-8723568727518869245,-8723568727518869245,-6312384811410586459,-2940536914889279273,-5676280017759875198,-2855218766021441159,9.112765177685685e+18
-8723313435347324769,-8723313435347324769,-1114438937697017987,3761187656635209729,-1802980374508081539,-4187268503708157132,-4.565745183488062e+17
-8722526817358894474,-8722526817358894474,1805849336099641652,-3206777048078326150,-6704596170548214779,-486686184692655504,4.604014376318271e+18
-8717945432162716060,-8717945432162716060,7926736692763443624,348632682812866328,-4309525417316029305,-769212572760644334,4.428409432282393e+18
-8706427875719844202,-8706427875719844202,2901480192726556992,-8689461307495241608,2668307045795933565,3779639438468810958,-4.186591400427142e+18
-8704908797766843570,-8704908797766843570,-4485188959476061019,-7796858148829878756,-3105075547863520421,-2213320166727371491,-2.375266175756883e+18
-8700857105739861338,-8700857105739861338,-3645539449929727083,-1663441888197894674,3727587882617538492,4866620033136147586,6.8734541577364e+18
-8689798332822398451,-8689798332822398451,-8934199835393138432,2379460324923679020,-9184137057748005562,-5622405819042018718,7.182931494487574e+18
-8689461307495241608,-8689461307495241608,2668307045795933565,-4186591400427142356,1580124381109623727,-7051470020148066326,-4.2629647153470413e+18
-8686523832043452855,-8686523832043452855,-8686523832043452855,-1852234953549915446,6932547594283220441,9168028029170358424,-8.041742992841055e+18
-8681175158863587641,-8681175158863587641,-5570795524983603787,4644672909721737325,5018472516978866574,-595851741330881198,5.092635400707339e+18
-8680242653057858999,-8680242653057858999,-5790539535722288419,7375475877233036849,3288699993147470797,-7009536306337650657,3.5771175900190147e+18
-8677396111092711799,-8677396111092711799,-3258959365023720872,-8526359231369823784,3032648342029994387,-447851796385928420,-9.190737901804729e+18
-8669770849634489893,-8669770849634489893,-3102652803014865472,-5410531116380081703,-8526359231369823784,-5011709367955107239,4.1064976961548984e+18
-8658069499367979499,-8658069499367979499,-8947720860550700506,363303724138208407,1003778007373126185,2531450382701518075,1.220948775534529e+18
-8657415528200615063,-8657415528200615063,-70211258489242437,-89955207814154444,-5204755921272353160,2668385070649954934,-1.033806831489252e+18
-8651474460024926245,-8651474460024926245,7247406924790318523,4402253552023115142,3440451510720294447,1729892529360390310,6.984066580750578e+18
-8641360668993633978,-8641360668993633978,7216750853471801538,2824996248683640175,-6651333707067617642,-3462051751080362224,-2.7977086853474816e+18
-8635809464649679621,-8635809464649679621,8869575677747285539,-6641749235744758169,5447580952505296338,3151913710743441986,-5.527182266336855e+18
-8632408281960398473,-8632408281960398473,5395784585257808296,-7568926158048616650,8881733945001664941,-3469502952547705884,1.4323117999801761e+18
-8627051188605351707,-8627051188605351707,1751822544912242581,4235212484048164433,5322532051893153382,3742318026370211556,-2.7315684263416902e+17
-8618420761918493321,-8618420761918493321,-2038869595290705317,-8279505492976427918,7938100642081250873,7400247075626691905,-7.685837606421531e+18
-8615957592921855596,-8615957592921855596,-3336755617029300430,3702150017806959874,8690601908689146128,2764830801602925772,-9.080873096647718e+18
-8615008595949058842,-8615008595949058842,7395435905985567130,6389624212149850449,5827857898404399503,1662917027785920354,1.3627236517151933e+18
-8606063418076691067,-8606063418076691067,7202701636941380671,-6215634663594744290,5524888769622800245,6614704926858202954,4.891010769166501e+18
-8591127493017117985,-8591127493017117985,4702453495211185350,896159636285333275,5658615529969625284,-2213320166727371491,-2.375266175756883e+18
-8587352636561360574,-8587352636561360574,5237574390644778994,524776334673868069,-724699218170106849,5314107418764884230,-5.18148980491574e+18
-8582642829303844420,-8582642829303844420,3801064060797809024,8200662919796009914,-2587745393898245957,-5808672937983623398,-2.1397393772932124e+18
-8578355592291788601,-8578355592291788601,-8578355592291788601,-1060990524105135617,6678691743269420670,7498047411414226273,8.065912276310959e+18
-8535131855706279960,-8535131855706279960,-6798063491592860025,7933362470375280252,-273156842634169039,5322532051893153382,5.191381587333697e+18
-8529522981244750831,-8529522981244750831,1981046186743381313,-8018088591294066196,-4487024160266973763,4891164246772479976,-8.142426490949346e+18
-8526359231369823784,-8526359231369823784,4106497696154898573,-8677396111092711799,385212706171385893,-5009578843275173733,3.099207916247127e+18
-8520302351158933500,-8520302351158933500,8381798621267347902,8219310215587599928,-7356135999773525293,1433951803438448289,-4.187268503708157e+18
-8518096793350810174,-8518096793350810174,-9055044275358686874,-3336755617029300430,-5238066650780855302,2764830801602925772,6.152652267138213e+18
-8512859527034085078,-8512859527034085078,-1762456938647577126,-7108012586837980940,8028897172674067530,-8145607370067359341,-6.79806349159286e+18
-8512461968928613053,-8512461968928613053,6638782839540370044,-6810702648836067504,1592600391233958243,5005421293875190218,1.6533003397189325e+18
-8511291357261863413,-8511291357261863413,8527071648070448758,5008913705695203000,5424502143558028097,-6732229745645090645,-4.974757204495954e+18
-8510490754427841940,-8510490754427841940,-6634868367571835312,162771765556771108,5834671664627894569,7828019124127586556,-3.718969219417182e+18
-8508606815368130888,-8508606815368130888,3687286164936910007,-4921088466135297415,-3876501423599932851,-9153494109165200346,-9.172673334835262e+18
-8508598439431879680,-8508598439431879680,-5020541944663390025,-5525441367600219076,-6817732106250460899,-8864073373672512525,-1.4444813018618724e+18
-8502883448980287228,-8502883448980287228,-115909536143817330,8905656922810620012,6034099213718885791,3575694866055127253,-9.113900031116341e+16
-8497895589300643949,-8497895589300643949,4106497696154898573,-8526359231369823784,-271938775771328391,-4625438649010928449,2.602221055863892e+18
-8489944755890710748,-8489944755890710748,5518462222339671372,-8202212195240926680,-782975839522191154,-1024046541613287684,7.963184191158282e+18
-8480712303720557641,-8480712303720557641,8856169137131817223,4780818054552370624,3407455496422791860,6097677219931837830,8.153556216916363e+18
-8467102776052559275,-8467102776052559275,7534917347133949300,5947470908330062710,2474876390020567211,-4575943417765899041,-5.314778455998445e+18
-8464215556093549753,-8464215556093549753,4991224059205503283,4247196691613374764,3799372021687456380,8620166073102656574,8.654585772743936e+18
-8460222552900599049,-8460222552900599049,-1324705355456975418,2323403245382926621,6409304780354173378,-4570752586662989981,7.345394467579731e+18
-8449536481786923901,-8449536481786923901,-4186591400427142356,-3653998742295730637,-4262964715347041233,3097721536109455446,4.0127709275043866e+18
-8445686000003509032,-8445686000003509032,-8445686000003509032,5274322067107287523,9222265156747237864,-4917007328809735647,6.620060201676471e+18
-8427763028519233712,-8427763028519233712,-844797936291539016,-3718969219417182449,7828019124127586556,5834671664627894569,8.43313115656913e+18
-8426084422061984285,-8426084422061984285,6237433897543964784,-1501277643953505671,5688279681867464747,-2041630887686751489,-6.347212504547574e+18
-8418620743404378592,-8418620743404378592,-4265002939801511319,-8418620743404378592,7059601745558171892,2434296883874412747,3.7264877922712666e+17
-8412113620940365599,-8412113620940365599,-3336755617029300430,-5238066650780855302,-5826278791285476287,-8615957592921855596,9.032993320407723e+18
-8404657131309965885,-8404657131309965885,379773866860040428,5680566822246004912,-1249582672736761858,288653248451617914,-1.5818476025718266e+17
-8392586470872505716,-8392586470872505716,8240934591713322028,3999205546352981758,381577463519666187,6737022915341644067,-3.395906801262756e+18
-8391512412740651574,-8391512412740651574,-8099709040471107382,-1861959619649725543,-6499865726739947794,3823268327704412514,2.293315701090958e+18
-8388400806941996172,-8388400806941996172,-8388400806941996172,3475346635930218065,-8123434787655959885,-6859269826758227273,2.2715923360484255e+18
-8381230866408697127,-8381230866408697127,2834072258350675251,2867605706298498445,231281690254211527,911037455259135591,-1.1812425431955162e+18
-8377626164558006982,-8377626164558006982,5237574390644778994,6340108943344143104,621816023396605502,6987435400166905688,5.247763346738681e+17
-8370744479086515302,-8370744479086515302,5401376580769090495,8631616594020837056,-7613994611628693820,-6468782714472551646,-2.8262998997240954e+17
-8369610219380465981,-8369610219380465981,4644672909721737325,-5570795524983603787,-8681175158863587641,5018472516978866574,-2.554512494756912e+18
-8368414190009234878,-8368414190009234878,2379460324923679020,-9184137057748005562,-5622405819042018718,2436112252908442663,-2.548446404469756e+18
-8353590933060505654,-8353590933060505654,-4920252354047555768,-455124319026316634,5092635400707338872,8378863480597222815,3.5858866777129e+18
-8349788035147634450,-8349788035147634450,5468598741732935699,374352050712569304,2857117417189640073,-7162567255723313045,-5.193720747719231e+18
-8343581376353287618,-8343581376353287618,-8343581376353287618,-3125361793069842594,-873780453963615794,7962608766252092705,-1.5574615112055217e+18
-8340365043226490059,-8340365043226490059,-1463025432902754108,8265190708606665292,-5794047401651735687,5304344058087060692,-1.0686032206395526e+18
-8314629309720421219,-8314629309720421219,-340541651592032197,2051327203770554158,6650072898902843826,-3854488592949785912,-8.286289711960957e+18
-8312968399134741370,-8312968399134741370,-5060993828460133882,1220948775534529013,2531450382701518075,363303724138208407,1.0037780073731261e+18
-8311338126170554747,-8311338126170554747,-9002191823887486987,-8800029253812071912,2602738827388230683,-7891960098457323262,3.9804058831683415e+18
-8287402887944984163,-8287402887944984163,-115892576593938933,-1762456938647577126,2388097612905924826,-7108012586837980940,4.63301334537535e+18
-8286289711960957081,-8286289711960957081,-9103776596534246502,3321223121670148312,4333668738649701866,2051327203770554158,-3.854488592949786e+18
-8282357075607822317,-8282357075607822317,4671890082953295903,2885511262558254418,3058137260516373249,4563006651994272837,4.125609302375935e+18
-8279505492976427918,-8279505492976427918,-2038869595290705317,7973573994178035769,-7685837606421530296,-8618420761918493321,6.016376495317032e+18
-8278633353687754322,-8278633353687754322,-6752460077509522132,4575580212020245658,2586379029487881843,-7564053678326007415,5.4147063032946515e+17
-8278375716950339547,-8278375716950339547,-4608017393995766765,3086800924266336392,-2386148284399181873,4333668738649701866,-3.854488592949786e+18
-8277924497842156608,-8277924497842156608,-3307413259092352650,-5678159351655490918,-3059841990815099417,5442191984600038712,-4.458371007893121e+18
-8259953995965151136,-8259953995965151136,-43795168179752761,-3544655814153481738,-1820269894165785259,8316918063034631031,9.671438063323973e+17
-8258529658421542282,-8258529658421542282,-6074661548047199165,8473367604990946179,-7108012586837980940,-8971085667828564532,8.028897172674067e+18
-8257579276626076787,-8257579276626076787,-43795168179752761,-5578229678262992168,-1072987232233605661,5266164468981660031,-3.5446558141534817e+18
-8254222281357012124,-8254222281357012124,-9045753673721269477,5380540855517464621,8946250624470221174,-1312850681127865433,4.869691310149728e+18
-8248141950199177506,-8248141950199177506,-6999287066519531005,-6863138929434705713,-5431549861280885742,-7130425546996181071,6.868454399455434e+18
-8245663037926520114,-8245663037926520114,6206342468637502921,4056017896532335209,2910288655685129221,-7812176982819372240,-4.024233104105796e+18
-8244000618837043328,-8244000618837043328,2051327203770554158,-9103776596534246502,-3285620956704836473,4546206336477094824,6.650072898902843e+18
-8243488279185272615,-8243488279185272615,-3513353119850106583,-4925213312961842798,-3875881534863988868,-2896441888220202695,6.540624159201421e+18
-8239286201029609369,-8239286201029609369,-3073433549435888423,-927862226557602150,8743240285401859304,8386493184609384928,7.013665235990337e+18
-8222568914848295086,-8222568914848295086,-3886927790136130174,-4509487968959834430,880612740433495828,7467940062038388159,-5.952729859839522e+18
-8208801367848627943,-8208801367848627943,834896074125772354,8428597553954921991,5338677278233757627,4106497696154898573,-9.099155556042679e+18
-8204817396973648779,-8204817396973648779,-2083103312491589695,7288937801410681383,-5976464170927897250,-4320251915347436672,5.442191984600038e+18
-8202212195240926680,-8202212195240926680,-8202212195240926680,-1024046541613287684,7963184191158282052,4807410384082534048,-3.3572954479787264e+18
-8196748324041706598,-8196748324041706598,-9153494109165200346,4804093434821394840,-9172673334835262304,3965818599169726564,-8.909927294729358e+18
-8194774279664546436,-8194774279664546436,363303724138208407,1003778007373126185,2531450382701518075,1220948775534529013,8.70845247182554e+18
-8193923078932592165,-8193923078932592165,-3059841990815099417,-1683903891018782242,5558603035498264655,2474876390020567211,3.884256359744616e+18
-8190931845319543363,-8190931845319543363,1954074927376897165,-1556169727291354289,-377975173223377441,5250363310227021277,-2.1189811431197834e+18
-8189315446782327370,-8189315446782327370,-1313614305945895108,-2139739377293212491,-1312850681127865433,5380540855517464621,2.847365042071859e+18
-8187220755213888616,-8187220755213888616,-3095494965842381869,-4748027149000767298,-8578355592291788601,-1060990524105135617,6.678691743269421e+18
-8167536150098135304,-8167536150098135304,5795281877636738272,6917508501173008954,1920899299418335515,-3745582971859460684,3.609315114795782e+18
-8159730897893673528,-8159730897893673528,-2178100133349972724,6850500272809381909,1734266821019430183,7446166231252589534,4.2593701610442547e+18
-8158171393641147845,-8158171393641147845,966067567430037498,1440793148901830221,-5791454671270548045,-5756697018315640725,-9.045753673721269e+18
-8149429101569453081,-8149429101569453081,-1669098707776725430,-2333243857499586461,6428429126612898364,2639926854188906104,-5.823763419123576e+18
-8146108036639482450,-8146108036639482450,6377566860234930618,-2271868873349907631,2384931701643938149,1984587708208773,4.909630283317268e+18
-8145607370067359341,-8145607370067359341,-7108012586837980940,-1762456938647577126,8028897172674067530,-6798063491592860025,5.761988486867613e+18
-8142426490949346803,-8142426490949346803,4891164246772479976,-8018088591294066196,-8426084422061984285,2736373711035411385,-1.5012776439535058e+18
-8141818108252244664,-8141818108252244664,643905832258297060,9032993320407723266,-4126288159365354498,-8312968399134741370,4.125609302375935e+18
-8123488152283046553,-8123488152283046553,-5115041394506292462,7414965642940222121,8396284143617057811,3256054536066714292,-8.88577609663273e+18
-8123434787655959885,-8123434787655959885,1058405970043104639,-592655813177747831,-6570327055377820618,3436241621287351574,-2.4235932921465226e+18
-8119612270825155371,-8119612270825155371,-1804728901674946596,1431351528207086249,-1868297195590431285,-7900768082301348135,-1.257839697539084e+18
-8099709040471107382,-8099709040471107382,-1861959619649725543,3823268327704412514,-6499865726739947794,-8099709040471107382,-8.391512412740652e+18
-8099145207792678586,-8099145207792678586,2625883933130361261,7395435905985567130,-5253644367331262405,5314107418764884230,-7.246992181701069e+17
-8085935119790093311,-8085935119790093311,524776334673868069,-7620438371471449873,-9033211547111606164,-4541461982704074404,-2.4235932921465226e+18
-8083832514395551465,-8083832514395551465,1469580151036142903,9168028029170358424,9158289456544908688,9151634133568930081,9.136323715291453e+18
-8068727428160395745,-8068727428160395745,-6394075099886393346,-5231736210378596444,3585886677712899987,-8353590933060505654,5.442191984600038e+18
-8052188270551570124,-8052188270551570124,5929055844564382383,6800965548226529308,-86767468210285959,-5628343274127925011,2.2558782263858268e+18
-8047634385511625486,-8047634385511625486,-266262937631881148,-1024046541613287684,5518462222339671372,-8202212195240926680,7.963184191158282e+18
-8043889175123948305,-8043889175123948305,1768976290984301641,4904775878165401439,6236312923258954569,-7977868424702448788,-7.423191370472335e+18
-8041742992841055506,-8041742992841055506,6240076106289531207,-1852234953549915446,-8686523832043452855,6932547594283220441,-8.030181764663753e+18
-8031358134051918098,-8031358134051918098,374674704202038318,-7639185658532886960,90383487344892230,2262656830196923781,8.582210754044681e+18
-8030181764663752939,-8030181764663752939,6932547594283220441,-8041742992841055506,-8686523832043452855,-1852234953549915446,6.240076106289531e+18
